date	A-3	A-5	A-6	A-7	A-8	A-9	A-10	A-11	A-12	A-13	A-14	A-15	A-16	A-17	A-18	A-19	A-20	A-21	A-22	A-23	A-24
2016-06-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2016-06-21	-1.450	-0.34	-1.040	-0.42	-0.37	-1.510	-0.5	-1.390	-0.27	-0.25	-0.33	-0.28	-0.38	-0.33	-0.39	-0.22	-0.21	-0.31	-0.21	-0.31	-0.25
2016-08-01	-0.61	-1.080	-0.98	-1.020	-0.88	-0.83	-0.875	-0.87	-0.81	-0.72	-0.7	-0.81	-0.78	-0.76	-0.7	-0.83	-0.4	-0.655	-0.835	-0.49	-0.81
2016-09-06	-1.230	-1.080	-0.59	-1.060	-0.88	-0.74	-0.905	-0.95	-0.93	-0.76	-0.49	-0.87	-0.87	-0.98	-0.63	-0.76	-0.92	-1.075	-0.895	-0.65	-0.63
2016-10-25	-1.380	-1.510	-1.210	-1.370	-1.260	-1.740	-1.900	-1.150	-1.290	-1.780	-1.530	-1.170	-1.290	-1.220	-1.290	-1.210	-1.290	-1.170	-1.200	-1.050	-1.120
2016-12-26	-2.960	-2.070	-2.510	-2.350	-2.330	-2.910	-2.530	-2.860	-2.290	-2.345	-2.400	-3.700	-2.300	-2.410	-2.130	-2.100	-2.100	-1.390	-1.770	-1.620	-1.500
2017-01-23	-1.070	-0.74	-0.6	-0.715	-0.57	-0.7	-0.505	-0.615	-0.49	-0.478	-0.465	-0.43	-0.33	-0.45	-0.47	-0.39	-0.34	-0.26	-0.2	-0.34	-0.27
2017-02-22	-0.78	-0.77	-0.86	-0.81	-0.73	-0.93	-0.655	-0.825	-0.74	-0.685	-0.615	-0.55	-0.62	-0.61	-0.67	-0.48	-0.545	-1.390	-0.33	-0.05	-0.11
2017-03-20	-0.52	-0.53	-0.49	-0.505	-0.415	-0.37	-0.43	-0.3	-0.335	-0.3	-0.44	-0.365	-0.21	-0.29	-0.25	-0.27	-0.175	-0.14	-0.105	-0.05	-0.01
2017-04-26	-1.010	-1.100	-2.990	-0.89	-0.95	-1.150	-1.170	-1.180	-1.161	-1.190	-1.143	-1.095	0.57	-0.87	-0.85	-0.76	-0.84	-0.63	-0.5	-0.41	-0.36
2017-05-30	-1.150	-1.080	-1.010	-1.250	-0.98	-0.93	-0.87	-0.76	-0.62	-0.53	-0.55	-0.72	-0.62	-0.52	-0.43	-0.46	-0.43	-0.46	-0.39	-0.35	-0.34
2017-06-15	-0.31	-0.39	-0.31	-0.28	-0.52	-0.33	-0.31	-0.35	-0.3	-0.33	-0.38	-0.41	-0.34	-0.45	-0.32	-0.27	-0.31	-0.36	-0.24	-0.21	-0.18
2017-07-19	-0.62	-0.78	-0.62	-0.56	-0.7	-0.66	-0.62	-0.7	-0.6	-0.66	-0.76	-0.78	-0.68	-0.71	-0.64	-0.54	-0.62	-0.72	-0.6	-0.5	-0.49
2017-08-29	-0.79	-0.81	-0.69	-0.74	-1.180	-0.85	-0.78	-0.82	-0.87	-0.7	-0.9	-0.71	-0.57	-0.61	-0.68	-0.7	-0.53	-0.57	-0.46	-0.44	-0.39
2017-09-26	-0.65	-0.67	-0.57	-0.61	-0.73	-0.7	-0.64	-0.68	-0.6	-0.57	-0.59	-0.58	-0.47	-0.5	-0.56	-0.53	-0.43	-0.39	-0.35	-0.27	-0.21
2017-11-03	-1.465	-1.347	-1.267	-1.376	-1.307	-1.428	-1.506	-1.308	-1.273	-1.273	-1.238	-1.206	-1.175	-0.852	-0.901	-0.901	-0.95	-0.938	-0.927	-0.852	-0.8
2017-11-27	-0.74	-0.8	-0.71	-0.69	-0.66	-0.68	-0.72	-0.84	-0.52	-0.69	-0.7	-0.69	-0.81	-0.62	-0.58	-0.56	-0.55	-0.53	-0.51	-0.54	-0.5
2017-12-19	-0.76	-0.72	-0.68	-0.66	-0.63	-0.65	-0.71	-0.79	-0.51	-0.7	-0.68	-0.42	-0.32	-0.6	-0.57	-0.45	-0.43	-0.445	-0.38	-0.475	-0.39
2018-01-23	-0.535	-0.527	-0.525	-0.625	-0.51	-0.54	-0.555	-0.563	-0.57	-0.55	-0.37	-0.45	-0.41	-0.39	-0.38	-0.333	-0.285	-0.43	-0.368	-0.305	-0.295
2018-03-01	-1.510	-1.420	-1.395	-1.220	-0.88	-0.98	-1.080	-0.96	-1.020	-0.95	-0.63	-0.6	-0.58	-0.55	-0.5	-0.47	-0.42	-0.21	-0.27	-0.33	-0.21
2018-03-27	-1.250	-1.115	-0.98	-0.85	-0.755	-0.708	-0.66	-0.83	-0.73	-0.68	-0.59	-0.51	-0.45	-0.39	-0.31	-0.28	-0.18	-0.16	-0.16	-0.15	-0.1
